,skids,side,class,segment,type,group
846,1411715,right,sensory,head,137.0,
847,117385,left,inter,head,53.0,12.0
848,1272459,right,inter,head,117.0,12.0
849,1632907,left,,pygidium,,
850,486036,left,sensory,head,29.0,
851,1354390,left,inter,head,21.0,
852,1501849,right,muscle,0,,
853,60061,left,motor,head,9.0,
854,273055,left,,head,,
855,1338017,left,,1,,
856,1108642,left,sensory,head,13.0,
857,1354406,left,inter,head,120.0,
858,1796774,,,,,
859,1092264,left,sensory,head,103.0,
860,649899,left,inter,head,,
861,346796,right,sensory,head,,8.0
862,1378988,,,,,
863,1354415,,,,,
864,1501871,right,muscle,1,,
865,1125044,left,sensory,head,13.0,
866,1460921,right,inter,2,,
867,1280701,,,,,
868,1731263,left,sensory,3,,
