,l,r
660,1463866,1308592.0
661,1570363,1652654.0
662,1300035,55225.0
663,423498,161743.0
664,1316451,1570773.0
665,1824372,1275865.0
666,1947255,1701849.0
667,54909,1423327.0
668,1275518,1570796.0
669,22159,1947647.0
670,1365661,1275907.0
671,1611442,1357861.0
672,1316531,1357867.0
673,1308347,1447992.0
674,1316572,923710.0
675,1595117,1333311.0
676,1308413,1316939.0
677,767751,1103961.0
678,1349386,1439840.0
679,1546007,1103977.0
680,1283875,1390740.0
681,1382194,1530009.0
682,1349434,1390749.0
683,1161034,1956009.0
684,14162,1546413.0
685,1521491,587962.0
686,1161044,1407163.0
687,1849185,1579204.0
688,1406825,1841368.0
689,1562482,252137.0
690,669558,1603827.0
691,1341302,1841402.0
692,1398649,1390849.0
693,907144,1366275.0
694,1570700,1464604.0
695,1726348,932125.0
696,251790,1341740.0
697,1570711,1669421.0
698,1275801,1448244.0
699,1292186,1587509.0
700,1488795,1775932.0
701,1570729,1603906.0
702,300976,1382729.0
703,1570739,637265.0
704,1292228,1415508.0
705,1447877,22876.0
706,55238,1415528.0
707,1308618,1833415.0
708,1390541,1612233.0
709,1849294,1571286.0
710,1570785,629210.0
711,1275880,981467.0
712,1849324,1645026.0
713,1398775,1956332.0
714,1669116,1948151.0
715,1275916,604671.0
716,1472553,1284610.0
717,1292334,1333780.0
718,1292352,653848.0
719,1570928,1309222.0
720,1276040,1309228.0
721,1292427,1382959.0
722,1382545,1473074.0
723,1374369,1325625.0
724,1292458,1325633.0
725,579755,1382978.0
726,1415344,1383001.0
727,1349820,1284704.0
728,1120455,1325682.0
729,1407180,580213.0
730,1325272,612991.0
731,1415385,1292932.0
732,1054945,1292947.0
733,1349857,137882.0
734,1276147,1473202.0
735,1317111,1317564.0
736,1300731,154304.0
737,776455,1293005.0
738,1366282,1850079.0
739,1849623,1350368.0
740,1333529,359142.0
741,1415473,1325812.0
742,1349942,1383171.0
743,1349949,1325843.0
744,801132,1317660.0
745,1415537,56100.0
746,1472928,908068.0
747,1374631,1399590.0
748,1317295,1432357.0
749,932287,1366839.0
750,1382859,1407854.0
751,1382871,1358740.0
752,1366501,1792917.0
753,1595882,1448858.0
754,1350126,1137595.0
755,1366510,228289.0
756,768500,1285069.0
757,1317375,1276909.0
758,1456639,1416180.0
759,1849863,1416198.0
760,1391139,1244182.0
761,1628716,1178653.0
762,1276462,1416227.0
763,1628748,1178663.0
764,1841743,1440816.0
765,6743,1571934.0
766,1923672,318576.0
767,1399394,1285267.0
768,1391222,15519.0
769,1342071,1383587.0
770,498302,1342632.0
771,55935,1752235.0
772,1333887,1293484.0
773,1391234,1547439.0
774,932505,1383600.0
775,1489563,1285301.0
776,1284780,1285306.0
777,1342141,359612.0
778,252608,1285310.0
779,277200,1416388.0
780,1489640,40141.0
781,1276652,1285327.0
782,1587973,1293518.0
783,1301268,392410.0
784,1276717,1416416.0
785,1776476,1326324.0
786,1776504,1957108.0
787,1440653,1285367.0
788,1842067,1342725.0
789,1276831,1334543.0
790,1588133,1285393.0
791,1629097,1457434.0
792,252853,1416476.0
793,1326008,1383723.0
794,1391561,1441073.0
795,1285075,1400126.0
796,1334234,1678661.0
797,1391584,1072496.0
798,1727474,23921.0
799,1383418,1449339.0
800,1276971,335229.0
801,1317942,1957288.0
802,1276992,1392050.0
803,588869,1031618.0
804,1293381,1433034.0
805,982115,1703390.0
806,1416299,531949.0
807,1850496,744953.0
808,1391745,1342970.0
809,1653907,1342975.0
810,1563802,1318423.0
811,1547424,1302040.0
812,1399974,1703455.0
813,1834160,1777190.0
814,1645747,1703468.0
815,1350839,1621549.0
816,1588419,269876.0
817,1129677,1474100.0
818,1645789,1408570.0
819,1277150,1400382.0
820,1498370,1285696.0
821,802066,48718.0
822,1383699,1441373.0
823,1449234,1441389.0
824,261398,1490551.0
825,1441050,1285768.0
826,1277215,1425033.0
827,826675,1449610.0
828,1785146,958099.0
829,1113404,1310363.0
830,1310016,982688.0
831,73027,1302189.0
832,7501,556718.0
833,113999,1457836.0
834,1416527,515762.0
835,1432915,1654460.0
836,1645907,1744577.0
837,1367387,1621708.0
838,73059,1285842.0
839,1678692,1400535.0
840,1645931,1466076.0
841,1957230,1998558.0
842,556399,1605349.0
843,1473904,1285875.0
844,1793408,1654515.0
845,1359237,1302266.0
846,32142,1343244.0
847,1850777,1670927.0
848,1318311,1302345.0
849,1457578,1433418.0
850,482732,1359694.0
851,1629613,1441614.0
852,1310144,1482574.0
853,1670599,1613646.0
854,1424853,1957722.0
855,441817,1654629.0
856,1416695,1032061.0
857,1211899,1736582.0
858,1392132,1277851.0
859,1302031,1621926.0
860,1392152,1327020.0
861,1392171,1957809.0
862,1383986,1335221.0
863,1351221,1408956.0
864,1130041,1122238.0
865,1465914,1425347.0
866,1343040,1204176.0
867,1302082,1343467.0
868,1678918,1621996.0
869,1384013,1441775.0
870,523862,1597423.0
871,1392216,1671147.0
872,523868,
873,1392222,
874,1318495,
875,2014813,
876,1351280,
877,1646209,
878,1351307,
879,1916554,
880,1547950,
881,1367741,
882,1932988,
883,941766,
884,1318602,
885,32460,
886,1629909,
887,1302247,
888,1646318,
889,1490675,
890,499451,
891,1629968,
892,1163030,
893,2416412,
894,1433397,
895,1277759,
896,1630022,
897,565079,
898,1646429,
899,1408867,
900,1130360,
901,139142,
902,2015119,
903,147361,
904,1359787,
905,1400756,
906,1392567,
907,942028,
908,1368019,
909,1368025,
910,2015193,
911,1368030,
912,1368040,
913,1277932,
914,1630186,
915,1302513,
916,1376251,
917,1048573,
